Rank|Song|Total Points|Number Ones|Total Listeners
491|Taylor Swift - Holy Ground|22.5|0|4
491|The Chainsmokers - Siren|22.5|0|4
496|5 Seconds Of Summer - Lie To Me|22.5|0|3
496|Bea Miller - S.L.U.T.|22.5|0|3
496|Kero Kero Bonito - Trampoline|22.5|0|3
496|Troye Sivan - Seventeen|22.5|0|3
500|Radiohead - Everything in Its Right Place|22.5|0|2
501|Bebe Rexha - I'm a Mess|22.0|0|5
501|The 1975 - Somebody Else|22.0|0|5
503|Kids See Ghosts - Reborn|22.0|0|4
503|LSD - Genius|22.0|0|4
505|Camila Cabello - Never Be The Same|22.0|1|3
506|Fleetwood Mac - Everywhere - 2017 Remastered|22.0|0|3
506|Frank Ocean - Ivy|22.0|0|3
506|Miley Cyrus - We Can't Stop|22.0|0|3
509|A$AP Ferg - Plain Jane|22.0|1|2
509|Becky G - Sin Pijama|22.0|1|2
509|Janelle Monáe - BabopbyeYa|22.0|1|2
509|King Krule - Biscuit Town|22.0|1|2
509|Sigala - Just Got Paid|22.0|1|2
514|Alvvays - Not My Baby|22.0|0|2
514|Ariana Grande - Jason's Song (Gave It Away)|22.0|0|2
514|Black Eyed Peas - BACK 2 HIPHOP (feat. Nas)|22.0|0|2
514|clipping. - Story 2|22.0|0|2
514|Eleni Foureira - Fuego|22.0|0|2
514|Snoh Aalegra - Nothing Burns Like The Cold|22.0|0|2
514|Thomston - The Heights|22.0|0|2
